id,text,labels
1,"Large language models are a language model trained with self-supervised learning on a vast amount of text . LLMs consist of billions to trillions of parameters and operate as general-purpose sequence models, generating, summarizing, translating and reasoning over text . The ability to ""self-instruct"" makes LLMs able to ""bootstrap"" themselves toward a correct answer .","education_academic"
2,"The 2019 Champion of Champions took place from 4 to 10 November 2019 at the Ricoh Arena in Coventry, England . Ronnie O'Sullivan was the defending champion, having defeated Kyren Wilson in the final of the 2018 event . Neil Robertson defeated reigning world champion Judd Trump to win the championship . The tournament's total prize fund was £440,000, of which the winner received £150,000 .","news_media"
3,Palantir Technologies has soared 25-fold in the past three years . The company recently landed a deal worth up to $10 billion contract with the U.S. Army . The shares have surged more than 170% this year .,"news_media"
4,"Caterpillar has raised its targets for the 2024 to 2030 period for revenue, profit margin, and capital expenditures . The industrial giant is looking to raise the compound annual growth rate (CAGR) for its sales and revenues from 4% in 2024 to 5%-7% through 2030 . The company is also raising its adjusted operating profit margin target from 18% to 22% at $72 billion .","news_media"
5,"Cybersecurity consultants need to find the right location to set up shop in the U.S. Take into account your start-up capital, if you need to hire, and the nature of your business . Co-working spaces offer flexibility, but the set hours, lack of privacy and limited room to grow might not fit your plans .","education_academic"
6,"Shopbop is a popular shopping destination for Amazon.com . The site is based in Seattle, Washington, D.C. and Washington, DC .","ecommerce, corporate_company"
7,"The government is attempting to lay a foundation for dissenting political beliefs as grounds for terrorism . Ya’akub — non-white, non-Christian — have been made its primary examples .","government, news_media"
8,"Likely, these are people being lazy and leveraging Google Search to go to a site . Instead of entering ""youtube.com"" in the address bar and going directly to the site, they enter ""youtube"" in a search which initiates a search, and click the top search result .","news_media"
9,Coursera | Online Courses & Credentials From Top Educators . Join us for Free | CourserA . Join for Free .,"education_academic"
10,Codecrafters-io/build-your-own-x:    You can’t perform that action at this time .,"education_academic, documentation_reference"
11,"Today we're running a short fundraiser to support Wikipedia . If you've visited Wikipedia this year, we hope it's given you at least $2.75 a year of knowledge . You deserve an explanation .","education_academic"
12,"The New York Post is published on November 5, 2025 . Use the weekly Newsquiz to test your knowledge of stories you saw on CNN iReport .","news_media"
13,Apple’s website is accessible by clicking here to search for the most recent version of this article . The page you’re looking for can’t be found.,"unknown"
15,Microsoft Power BI Desktop combines state-of-the-art interactive visualizations with industry-leading data query and modeling built-in . Create and publish your reports to Power BI .,"corporate_company"
16,"Due to the lapse in federal government funding, NASA is not updating this website . NASA will not update this website to reflect current federal funding levels .","government"
17,"Machine Learning Specialization is a foundational online program created in collaboration between DeepLearning.AI and Stanford Online . In the first course, you will learn the fundamentals of machine learning and how to use these techniques to build real-world AI applications .","education_academic"
18,"To see all available qualifiers, see our documentation . We read every piece of feedback, and take your input very seriously . We take our feedback seriously .","education_academic"
19,"If you're behind a web filter, please make sure that the domains *.kastatic.org and *.kasandbox.org are unblocked . This means we're having trouble loading external resources on our website .","education_academic"
20,"Spotify Premium Student offer currently includes access to Hulu (With Ads) plan on us, subject to eligibility . Offer only available if you haven't tried Premium before .","ads_marketing"
21,"404 - Page Not Found: Please check the address and spelling . It is possible that the page you were looking for may have been moved, updated or deleted .","unknown"
22,"Python, JavaScript, NodeJS, ReactJS and ReactJS are now open . Java, Python, Java, Java and NodeJS are all included in the list . The list is now open to languages from Python to JavaScript .","education_academic, documentation_reference"
23,"Some parts of Airbnb website don’t work properly without JavaScript enabled . We’re sorry, some parts of the Airbnb website won't work properly if you use it .","corporate_company"
24,"Access Denied . You don't have permission to access ""http://www.tesla.com/models"" on this server . Use this information to help users with reading comprehension and vocabulary .","login_portal"
25,Nike.com is a part of our Nike World Series . We are committed to helping runners and women's sports teams in the U.S. We are happy to participate in the USA Marathon Marathon .,"corporate_company"
26,You'll find lots to explore on the home page . Use the weekly Newsquiz to test your knowledge of stories you saw on CNN iReport .,"news_media"
28,This is the first time a woman has been in a relationship with the Duchess of Cambridge . She has been married for more than 20 years . She was in the first place in the country to be married in 2008 . She is a mother-of-two and mother-to-two .,"news_media"
29,The information on this website may not be up to date during the government shutdown . Only web sites supporting excepted functions will be updated during the shutdown .,"government"
